Paragraph ID	Paragraph Text	Classified Anchors
		Stuckateur_in
		Schwerpunkten
		Führerschein
		Berufserfahrung
		
1ff9c867-ef05-41bf-9da5-d7d99a57d099	Eine abgeschlossene Ausbildung als Dreher und ausreichend Berufserfahrung werden vorausgesetzt.	Berufserfahrung
		Dreher
		Ausbildung
		
aa21b8fe-02f1-4d32-a771-919eef96b90d	Wenn Sie grundlegende Computerkenntnisse haben, flexibel und kundenorientiert sind und ein einwandfreies polizeiliches Führungszeugnis haben, dann bewerben Sie sich bei uns!	Führungszeugnis
		Computerkenntnisse
		kundenorientiert
		flexibel
		
1d5f0ece-0da8-4938-9709-0d0135c8947a	Ihre Qualifikation: [*] Ausbildung zum Techniker und_oder mehrjährige Praxiserfahrung in der Automobilindustrie [*] Einschlägige Kenntnisse im Bereich Q-Management [*] Englisch in Wort und Schrift	Qualifikation
		Praxiserfahrung
		Kenntnisse
		Schrift
		Ausbildung
		Englisch
		Automobilindustrie
		
b2fdb081-64d3-491c-919e-279269bf6e21	Idealerweise verfügen Sie bereits über Erfahrungen im Pflegebereich und besitzen eine adäquate Berufsausbildung bzw. fühlen sich den Aufgaben gewachsen.	Erfahrungen
		Berufsausbildung
		Pflegebereich
		Aufgaben
		
e0ca114d-3715-41b2-854d-785a7ce8c210	IHR PROFIL [*] Möglichst mit einschlägiger Berufserfahrung, wir geben aber auch jungen Fachkräften am Beginn Ihrer Laufbahn eine Chance [*] Fundierte Kenntnisse im Bereich der SP-Steueranlagen S7 sind wünschenswert [*] Gute MSR-Kenntnisse sind von Vorteil [*] Sichere Anwendung der MS-Office-Produkte	Berufserfahrung
		SP-Steueranlagen
		Möglichst
		Fachkräften
		Chance
		Laufbahn
		Anwendung
		Beginn
		MS-Office-Produkte
		Kenntnisse
		PROFIL
		MSR-Kenntnisse
		S7
		
f5f28921-6745-4f96-86ad-25afc23e0f9e	Wenn Sie Erfahrungen in diesen Bereichen mitbringen und über persönliche Eigenschaften wie Zuverlässigkeit, selbständige Arbeitsweise, guter Umgangston im Team (Höflichkeit im Betrieb), gepflegtes Äußeres und Teamfähigkeit verfügen, dann bewerben Sie sich schriftlich. Zur Erreichung des Arbeitsortes ist ein Führerschein und PKW zwingend erforderlich.	schriftlich
		Erfahrungen
		PKW
		Arbeitsortes
		Arbeitsweise
		Führerschein
		Bereichen
		Erreichung
		Umgangston
		Team
		Höflichkeit
		Eigenschaften
		Zuverlässigkeit
		Teamfähigkeit
		Äußeres
		
a6e41e97-7043-418d-afb6-a1f5e08ffee8	Aufgeschlossenes und besucherfreundliches Auftreten setzen wir voraus.	Auftreten
		Aufgeschlossenes
		
5ab60ebf-9260-40fa-8c7d-17068287994c	Erfahrung in diesem Bereich ist wünschenswert. Eine abgeschlossene Berufsausbildung ist nicht erforderlich.	Erfahrung
		Berufsausbildung
		Bereich
		
311dda1e-8367-4c22-854c-e2269954157c	Folgende Voraussetzungen sollten Sie mitbringen: [*] 3-jährige Ausbildung zur_zum Krankenschwester_-pfleger; Medizinische(r)m Fachangestellten (Arzthelfer_in) oder Altenpfleger_in [*] eine positive Einstellung zur Pflege [*] alleinverantwortliches Arbeiten [*] Teamarbeit_Teamfähigkeit [*] ein zugewandtes, freundliches Wesen [*] eine sympathische Erscheinung	Teamarbeit_Teamfähigkeit
		Fachangestellten
		Voraussetzungen
		Arbeiten
		Krankenschwester_-pfleger
		Medizinische(r
		Arzthelfer_in
		Einstellung
		Wesen
		Pflege
		Altenpfleger_in
		Erscheinung
		Ausbildung
		
5d7ac528-941f-4696-8aae-63a2db118117	Als idealer Bewerber verfügen Sie über ein abgeschlossenes Studium der Elektrotechnik oder eine vergleichbare Ausbildung zum Techniker und bringen gute Kenntnisse in der Energie- und Antriebstechnik mit. Darüber hinaus haben Sie Erfahrung bei der Projektierung von elektrischen Anlagen und bei der Erstellung von Stromlaufplänen (idealerweise sind Sie mit einem E-CAD System vertraut). Sie beherrschen weiterhin den Umgang mit verfahrenstechnischen Vorgaben wie Systembeschreibungen und Spezifikationen. Mit guten Englischkenntnissen in Wort und Schrift und der Bereitschaft zu Reisetätigkeiten runden Sie Ihr Profil ab.	Studium
		Darüber
		Anlagen
		Englischkenntnissen
		System
		Umgang
		Erstellung
		Reisetätigkeiten
		Schrift
		Erfahrung
		Bereitschaft
		Energie-
		Spezifikationen
		Vorgaben
		Stromlaufplänen
		Kenntnisse
		E-CAD
		hinaus
		Bewerber
		Systembeschreibungen
		Ausbildung
		Antriebstechnik
		Projektierung
		Techniker
		
735f9a01-4843-47d8-b491-59df3bc7e715	Ihr Profil: [*] Bauingenieur _ Architekt o. glw. Ausbildung mit betriebswirtschaftlichem Hintergrund [*] Mehrjährige Berufserfahrung in der Führung anspruchsvoller schlüsselfertiger Großbauvorhaben bei einer Bauunternehmung oder einem Bauträger [*] Ausgeprägtes Kosten- und Qualitätsbewusstsein [*] Fundierte, praxisgestützte Projektmanagementerfahrung [*] Analytische und konzeptionelle Fähigkeiten [*] Überzeugungsstark und teamorientiert [*] Durchsetzungsvermögen und Organisationstalent [*] Selbständiges und zielstrebiges Arbeiten unter hoher Belastung [*] Fundierte Kenntnisse in MS-Office-Anwendungen inkl. MS Projekt, sowie rechtssicheres Handeln nach VOB, BGB und MaBV.	Projekt
		Selbständiges
		Belastung
		Hintergrund
		Fähigkeiten
		Bauunternehmung
		BGB
		Fundierte
		Ausgeprägtes
		Arbeiten
		Überzeugungsstark
		Berufserfahrung
		Führung
		Großbauvorhaben
		Qualitätsbewusstsein
		Analytische
		VOB
		Kenntnisse
		Architekt
		Organisationstalent
		Handeln
		Ausbildung
		Durchsetzungsvermögen
		Bauingenieur
		Projektmanagementerfahrung
		Kosten-
		MaBV.
		Bauträger
		
785129d3-fac2-4ddc-abfb-708b633753c9	ERWARTET WIRD ZUDEM: [*] Ausgeprägte Dienstleistungsorientierung [*] Hohe Kommunikationsfähigkeit [*] Teamfähigkeit [*] Bereitschaft zur ständigen Weiterbildung [*] Grundkenntnisse Englisch	Kommunikationsfähigkeit
		Grundkenntnisse
		Ausgeprägte
		Teamfähigkeit
		Bereitschaft
		WIRD
		Hohe
		ERWARTET
		Weiterbildung
		Dienstleistungsorientierung
		Englisch
		
a5b479ff-1442-4521-bd89-6370f3c750d0	Voraussetzungen: [*] Freundlichkeit, Offenheit, Pünktlichkeit, Flexibilität, Zuverlässigkeit, Kommunikationsfähigkeit_Freude am Umgang mit Menschen, Belastbarkeit, Spaß am Verkauf und die Beratung von Kunden ist uns wichtig [*] ein gepflegtes Erscheinungsbild wird vorausgesetzt [*] Verkaufserfahrung von Vorteil [*] Fremdsprachenkenntnisse von Vorteil	Flexibilität
		Verkaufserfahrung
		Freundlichkeit
		Verkauf
		Beratung
		Belastbarkeit
		Pünktlichkeit
		Umgang
		Offenheit
		Zuverlässigkeit
		Erscheinungsbild
		Spaß
		Fremdsprachenkenntnisse
		Kommunikationsfähigkeit_Freude
		Menschen
		wichtig
		
50a0d5d0-113f-4235-b808-30f080221b7d	Eine abgeschlossene fachbezogene Berufsausbildung setzen wir voraus. Als Facharbeiter (m_w) haben Sie idealerweise bereits mehrjährige Berufserfahrung gesammelt. Sie sind es gewohnt, eigenverantwortlich und selbstständig zu arbeiten. Qualitätsbewusstsein, Teamfähigkeit und Flexibilität gehören mit zu Ihren Stärken.	Berufsausbildung
		Facharbeiter
		eigenverantwortlich
		Stärken
		Flexibilität
		selbstständig
		Qualitätsbewusstsein
		Teamfähigkeit
		gewohnt
		Berufserfahrung
		
9d0a0def-ba6e-400b-add5-64bf5c1555ff	Anforderungsprofil: [*] gut abgeschlossene Ausbildung als Fachverkäufer_in im Lebensmittelhandwerk (Fleischerei) [*] erste Berufserfahrungen sind zwingend notwendig	Fleischerei
		Lebensmittelhandwerk
		Berufserfahrungen
		Anforderungsprofil
		Ausbildung
		Fachverkäufer_in
		
ac99802a-df93-49e5-8a88-8edc2f56aa78	Zur Verstärkung unseres Teams erwarten wir eine engagierte Fachkraft mit Verantwortungsbewusstsein, Organisationsgeschick und ausgeprägter Teambereitschaft, mit selbständiger und eigenverantwortlicher Einsatzbereitschaft im Schichtbetrieb auch an Wochenenden und Feiertagen.	Verstärkung
		Einsatzbereitschaft
		Organisationsgeschick
		Verantwortungsbewusstsein
		Teambereitschaft
		Wochenenden
		Schichtbetrieb
		Teams
		Feiertagen
		Fachkraft
		
25ce4922-569b-4ae3-82cd-54949629e68b	Anforderungsprofil: [*] Zuverlässig [*] Engagiert [*] Selbständig	Anforderungsprofil
		Engagiert
		Selbständig
		Zuverlässig
		
d9bcaf3b-7339-4ca6-826b-cf8eb2cffc16	Zu ihrer Aufgabe gehört in erster Linie das Sortieren und Abpacken von Getränken. Entsprechend sind uns Flexibilität, körperliche Belastbarkeit sowie Deutschkenntnisse wichtig.	Belastbarkeit
		Abpacken
		Deutschkenntnisse
		Aufgabe
		Flexibilität
		gehört
		Linie
		Entsprechend
		Sortieren
		
3759dd6b-f34e-4786-a635-662a8b3a3ac2	Idealer Weise besitzen Sie einen Führerschein der Klasse T und haben erste Kenntnisse im Bereich Garten- und Landschaftsbau und_oder Baumaschinenführung.	Weise
		Baumaschinenführung
		T
		Kenntnisse
		Garten-
		Führerschein
		Landschaftsbau
		
1a063537-24fa-4d81-8749-a99fb396d1cf	Ihr Profil [*] Techniker mit Vertriebserfahrung, gerne auch Techniker die Vertriebserfahrung suchen oder [*] Kaufmann _ -frau mit Erfahrungen im technischen Vertrieb und _ oder in erklärungsbedürftigen Investitionsgüter _ Anlagenbau [*] Erfahrungen in Exportgeschäften und _ oder kaufmännischen Vertragsabwicklungen sind von Vorteil [*] Gute IT-Kenntnisse mit verschiedenen EDV- Anwendungen und Softwareprogrammen insbesondere MS Office, SAP Erfahrung sind von Vorteil [*] Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift, (koreanisch, chinesisch, indisch) sind von Vorteil [*] Offene Persönlichkeit, gute Kommunikationsfähigkeit [*] Schnelle Auffassungsgabe, selbstständiges Arbeiten, Verständnis für unterschiedliche Kulturen [*] Teamfähigkeit [*] Reisebereitschaft	Kulturen
		Vertriebserfahrung
		Verständnis
		Teamfähigkeit
		IT-Kenntnisse
		Vertriebserfahrung
		chinesisch
		EDV-
		Anlagenbau
		Reisebereitschaft
		Techniker
		Investitionsgüter
		Auffassungsgabe
		Englischkenntnisse
		Erfahrungen
		Softwareprogrammen
		Kaufmann
		Erfahrung
		Anwendungen
		Erfahrungen
		Arbeiten
		Persönlichkeit
		Offene
		Vertrieb
		Office
		Kommunikationsfähigkeit
		Exportgeschäften
		Schrift
		Vertragsabwicklungen
		Schnelle
		Deutsch-
		
a3820d46-bf6b-4346-baf6-c657ee20d77f	Anforderungen: [*] abgeschlossene Ausbildung zum_zur Verfahrensmechaniker_in für Kunststoff- und Kautschuktechnik (Fachrichtung Spritzguss) oder vergleichbare Qualifikation [*] selbstständiges qualitätsbewußtes Arbeiten [*] Schichtbereitschaft (3-Schicht)	Kautschuktechnik
		Kunststoff-
		Spritzguss
		Verfahrensmechaniker_in
		Schichtbereitschaft
		Ausbildung
		Qualifikation
		Arbeiten
		Fachrichtung
		
7ce6de05-00e8-4063-b5f6-d76f0b7730ba	Ihr Profil: [*] Verkaufserfahrung erwünscht [*] Kundenfreundlichkeit [*] Zuverlässigkeit [*] Flexibilität	Zuverlässigkeit
		Flexibilität
		Verkaufserfahrung
		Kundenfreundlichkeit
		
f2052be5-4caa-400f-9df7-297b60321c9c	Der Besitz eines Führerscheins und Fahrzeugs ist zur Erreichbarkeit des Arbeitsplatzes erforderlich. Ansonsten kann ein Zimmer gestellt werden.	Führerscheins
		gestellt
		Fahrzeugs
		Besitz
		Zimmer
		Erreichbarkeit
		
fe52c6f3-2fe8-4159-8c0a-7751acd86fc8	Die Bewerber_innen müssen über eine abgeschlossene Berufsausbildung als Kinderpfleger_in oder Krankenpflegehelfer_in verfügen.	Krankenpflegehelfer_in
		Bewerber_innen
		Berufsausbildung
		Kinderpfleger_in
		
3abc928e-9451-4b73-8c3a-630cdfc116c4	Erfahrung im Bereich Wechselbrücken, Hängerzüge und Sattelschlepper ist erwünscht. Ein ADR-Schein wäre von Vorteil.	Wechselbrücken
		ADR-Schein
		Sattelschlepper
		Erfahrung
		Hängerzüge
		
984c7a10-3af0-4abc-9c7f-fec4b5244065	Ihr Profil: [*] Erfolgreich abgeschlossenes Studium der Fachrichtung Elektrotechnik oder Wirtschaftsingenieurwesen mit Schwerpunkt Elektrotechnik [*] Bereitschaft zu Dienstreisen weltweit [*] Verhandlungssichere Deutsch- und Englischkenntnisse in Wort und Schrift [*] Belastbarkeit, Teamfähigkeit	Erfolgreich
		Belastbarkeit
		Wirtschaftsingenieurwesen
		Fachrichtung
		Dienstreisen
		Schrift
		Englischkenntnisse
		Studium
		Bereitschaft
		Deutsch-
		Teamfähigkeit
		
b51206c2-1a42-40f7-89b6-590b8a88e9d8	Ihr Profil [*] Diplomingenieur_in Maschinenbau [*] Kenntnisse in der Maschinenkonstruktion [*] Mehrjährige Berufserfahrung in der Antriebstechnik _ Getriebekonstruktion [*] Ausgeprägte Erfahrung mit 3D CAD Systemen, vorzugsweise Pro_Engineer [*] Gute EDV-Kenntnisse (MS Office) [*] SAP Kenntnisse sind von Vorteil [*] Englische Sprachkenntnisse	CAD
		Maschinenkonstruktion
		EDV-Kenntnisse
		Kenntnisse
		Getriebekonstruktion
		Sprachkenntnisse
		Diplomingenieur_in
		Berufserfahrung
		Pro_Engineer
		Erfahrung
		Ausgeprägte
		Kenntnisse
		Maschinenbau
		Systemen
		
b72508dd-2dc0-4ea2-aa03-2eb3bce33570	Wir suchen für unser Restaurant zum nächstmöglichen Zeitpunkt eine Servicekraft auf geringfügiger Basis. Auf Dauer ist die Übernahme in Vollzeit sozialversicherungspflichtig geplant. Sie sollten Berufserfahrung mitbringen.	Berufserfahrung
		geplant
		Dauer
		Servicekraft
		Zeitpunkt
		Übernahme
		Restaurant
		Basis
		sozialversicherungspflichtig
		
bf9aad08-6bd7-4aa7-b421-8639c2390b53	Sie verfügen über eine ausgeprägte Kundenorientierung, sind flexibel und bringen idealerweise bereits erste Erfahrungen im Einzelhandel mit. Mit Ihrem freundlichen und sicheren Auftreten überzeugen Sie bei unseren großen und kleinen Kunden. Zudem sind Sie absolut zuverlässig, belastbar, arbeiten selbstständig und behalten auch in Stresssituationen den Überblick.	Erfahrungen
		selbstständig
		zuverlässig
		belastbar
		flexibel
		Auftreten
		Zudem
		Kundenorientierung
		Kunden
		Überblick
		Einzelhandel
		
bfc41194-5e1e-4998-aee3-c6fcbfdd2df7	Wir wünschen uns: [*] eine abgeschlossene Ausbildung als Immobilienkaufmann_-frau [*] Berufserfahrung in der Hausverwaltung von A-Z [*] einen routinierten Umgang mit MS-Office [*] vorzugsweise Erfahrung mit der Software Domus und [*] gute Umgangsformen	Umgangsformen
		Ausbildung
		Hausverwaltung
		Software
		Umgang
		Berufserfahrung
		Domus
		Erfahrung
		Immobilienkaufmann_-frau
		
05eaa961-26b6-4d50-80e0-7cfc116c2943	IHR PROFIL: [*] abgeschlossene Ausbildung als Erzieher_in [*] idealerweise Erfahrung im Jugendhilfebereich oder Heimerfahrung	Erfahrung
		Heimerfahrung
		Ausbildung
		Jugendhilfebereich
		
61d34c97-5dfc-4a10-8cd1-60ce14edfc0e	Wir sind ein mittelständiges, international tätiges Familienunternehmen mit Fertigungsstandorten in Deutschland, ___ und ___. Als führender Hersteller technischer Kunststoffteile sind wir mit ca. 320 Mitarbeitern auf den Zukunftsmärkten tätig und zählen zur Spitzengruppe im Bereich der 2K- und Insert-Technik. Mit neuen innovativen Produkten und Prozessen erwarten wir als Systemführer weiterhin ein überdurchschnittliches Wachstum. Für unseren Standort in ___ suchen wir eine(n): Mitarbeiter(in) Controlling Unser Anforderungsprofil: [*] Sie haben ein abgeschlossenes BWL-Studium, mit Schwerpunkt Controlling, bzw. Rechnungswesen und verfügen idealerweise über einen technischen Hintergrund [*] Sie verfügen über ausgeprägte analytische und konzeptionelle Fähigkeiten [*] Sie arbeiten im Team, aber auch selbstständig, sind in Ihren Vorgehensweisen strukturiert und ergebnisorientiert [*] Neue Aufgaben sind für Sie willkommene Herausforderungen. [*] Sie verfügen über gute Englischkenntnisse in Wort und Schrift sowie sehr gute Microsoft Office-Kenntnisse, insbesondere Microsoft Excel [*] Ihr sicheres Auftreten und Ihre gute Kommunikationsfähigkeit runden Ihr Profil ab. Ihr Aufgabenbereich: [*] Plan- und Nachkalkulation [*] Mitwirkung bei der Erstellung von Monats- und Jahresabschlüssen [*] Planungsrechnung [*] Mitwirkung bei der Vertragsprüfung Es erwartet Sie eine attraktive leistungsbezogene Vergütung in einem fortschrittlichen Unternehmen mit angenehmem Arbeitsumfeld. Ihre aussagekräftigen Bewerbungsunterlagen mit Angabe des frühesten Einstellungstermins sowie Ihrer Gehaltsvorstellung richten Sie bitte an ___ GmbH, ___, D-___ ___. Die streng vertrauliche Behandlung Ihrer Bewerbung ist für uns selbstverständlich. Wir weisen vorsorglich darauf hin, dass wir keinerlei Kosten für eventuelle Vorstellungsgespräche erstatten.	Englischkenntnisse
		tätig
		Aufgaben
		Vertragsprüfung
		Arbeitsumfeld
		Standort
		Behandlung
		selbstständig
		Auftreten
		Vorgehensweisen
		GmbH
		Erstellung
		Team
		strukturiert
		hin
		Fähigkeiten
		Einstellungstermins
		Produkten
		Insert-Technik
		Microsoft
		Systemführer
		Jahresabschlüssen
		Wachstum
		Nachkalkulation
		Zukunftsmärkten
		Anforderungsprofil
		Vorstellungsgespräche
		selbstverständlich
		Hintergrund
		vorsorglich
		Prozessen
		Rechnungswesen
		Mitwirkung
		Bewerbungsunterlagen
		Unternehmen
		Hersteller
		Kunststoffteile
		Fertigungsstandorten
		BWL-Studium
		Planungsrechnung
		Angabe
		Monats-
		Vergütung
		Plan-
		Schrift
		Spitzengruppe
		Kommunikationsfähigkeit
		Familienunternehmen
		Mitarbeitern
		darauf
		Excel
		Kosten
		zählen
		analytische
		Controlling
		Gehaltsvorstellung
		Office-Kenntnisse
		Herausforderungen
		Mitwirkung
		Bewerbung
		
7cdb57a2-fae7-4d28-af90-1c3eeb6c6091	Ein kleiner Handwerksbetrieb sucht für den Einsatz in ___ und Umgebung 1-2 Parkett- oder Bodenleger. Sie sollten über einen abgeschlossenen Beruf in der Branche und Berufserfahrungen in der Untergrundvorbereitung und Parkett- oder Bodenverlegung verfügen.	Bodenleger
		Handwerksbetrieb
		Bodenverlegung
		Umgebung
		Parkett-
		Beruf
		Parkett-
		Branche
		Berufserfahrungen
		Untergrundvorbereitung
		Einsatz
		
4d0f9e20-90e4-40a4-82ef-9f289897b1a0	Bodenlegebetrieb sucht qual. Maler_in mit Berufserfahrung für [*] Renovierungsarbeiten im Innenbereich [*] Tapezieren [*] Streichen [*] Lackieren Führerschein mindestens Klasse B erforderlich	Berufserfahrung
		Streichen
		Renovierungsarbeiten
		Bodenlegebetrieb
		Führerschein
		Tapezieren
		Klasse
		Innenbereich
		Lackieren
		Maler_in
		
f50049a6-0d00-4e2d-9985-2136c6946076	Voraussetzungen: [*] Einschlägige Erfahrung in der Gastronomie erforderlich [*] Führungsfähigkeit [*] Gepflegtes Äußeres und Kommunikationsfähigkeit sind sehr wichtig [*] Sehr gutes, fließendes Deutsch in Wort und Schrift zwingend erforderlich [*] Offenheit und Lernbereitschaft	Äußeres
		Führungsfähigkeit
		Lernbereitschaft
		Schrift
		Gepflegtes
		Erfahrung
		Offenheit
		Kommunikationsfähigkeit
		Deutsch
		
aa7acc57-4ba3-430c-8196-e00bdb51f143	Anforderungen: [*] Umfassende Kenntnisse und Kompetenzen in Diagnostik, Therapie und Beratung logopädischer Diagnostik [*] selbständiges Arbeiten und fachliche Entscheidungskompetenz sowie ausgeprägte kommunikative Fähigkeiten [*] aufgeschlossenes und sicheres Auftreten [*] wünschenswert sind Erfahrungen in der Arbeit mit jungen Menschen bzw.in der Arbeit mit hör-und_oder sprachbehinderten Menschen [*] Führerschein [*] Kassenzulassung	Arbeit
		Diagnostik
		Kompetenzen
		Führerschein
		Umfassende
		Arbeiten
		Diagnostik
		Menschen
		Fähigkeiten
		Auftreten
		Entscheidungskompetenz
		Therapie
		Arbeit
		Erfahrungen
		Kenntnisse
		Menschen
		Beratung
		Kassenzulassung
		
0b377227-ed53-465d-93c6-cc5b5c7c4a0c	SIE SIND BEI UNS RICHTIG, WENN SIE FOGLENDE VORAUSSETZUNGEN ERFÜLLEN: [*] Abgeschlossenes (Fach-)Hochschulstudium Wirtschaftsinformatik oder Abschluss als AOK Betriebswirt (m_w) bzw. eine vergleichbare Qualifikation oder mehrjährige einschlägige Berufserfahrung [*] Alternativ: Ausbildung zum Sozialversicherungsfachangestellten (m_w), verbunden mit starker Affinität zur Informationstechnologie, kaufmännische Ausbildung im IT-Bereich und Berufserfahrung bevorzugt im IT-Umfeld	SIE
		WENN
		SIE
		Alternativ
