Parent ID	Unit ID	Class	Token	Position
			-FS-Kl	13
				
94364	a35fecd9-5ba4-4546-98a9-b021136e7d2a	COMPETENCE	FÜHRUNGSERFAHRUNG	19
				
101118	a3820d46-bf6b-4346-baf6-c657ee20d77f	COMPETENCE	Arbeiten	21
			Ausbildung	4
			Schichtbereitschaft	23
				
51880	a5b479ff-1442-4521-bd89-6370f3c750d0	COMPETENCE	Offenheit	5
			Erscheinungsbild	35
			Fremdsprachenkenntnisse	43
			Freundlichkeit	3
			Zuverlässigkeit	11
			Spaß	21
			Flexibilität	9
			Verkaufserfahrung	39
			Pünktlichkeit	7
			Kommunikationsfähigkeit_Freude	13
			Belastbarkeit	19
				
175673	a6e41e97-7043-418d-afb6-a1f5e08ffee8	COMPETENCE	Auftreten	3
				
54486	a8d1d650-b02c-4862-9ad5-327e1999244b	COMPETENCE	Organisationsvermögen	42
			Erfahrungen	5
			Fähigkeit	44
			Umgang	55
			Einsatzfähigkeit	37
			Teamfähigkeit	14
			Belastbarkeit	34
				
238433	aa21b8fe-02f1-4d32-a771-919eef96b90d	COMPETENCE	Führungszeugnis	14
			Computerkenntnisse	3
			kundenorientiert	8
			flexibel	6
				
9940	aa7acc57-4ba3-430c-8196-e00bdb51f143	COMPETENCE	Arbeiten	17
			Kenntnisse	4
			Fähigkeiten	24
			Entscheidungskompetenz	20
			Auftreten	29
			Kassenzulassung	50
			Führerschein	48
			Erfahrungen	33
				
175673	ac99802a-df93-49e5-8a88-8edc2f56aa78	COMPETENCE	Teambereitschaft	15
			Organisationsgeschick	12
			engagierte	7
			Verantwortungsbewusstsein	10
			Einsatzbereitschaft	21
				
348368	b2fdb081-64d3-491c-919e-279269bf6e21	COMPETENCE	Berufsausbildung	12
			Erfahrungen	5
				
236001	b51206c2-1a42-40f7-89b6-590b8a88e9d8	COMPETENCE	Kenntnisse	6
			Berufserfahrung	12
			Sprachkenntnisse	43
			Erfahrung	20
			Kenntnisse	37
			EDV-Kenntnisse	30
			Diplomingenieur_in	3
				
76711	b72508dd-2dc0-4ea2-aa03-2eb3bce33570	COMPETENCE	Berufserfahrung	26
				
254860	bf9aad08-6bd7-4aa7-b421-8639c2390b53	COMPETENCE	behalten	45
			belastbar	40
			Auftreten	24
			zuverlässig	38
			selbstständig	43
			Kundenorientierung	5
			Erfahrungen	14
			flexibel	8
				
184700	bfc41194-5e1e-4998-aee3-c6fcbfdd2df7	COMPETENCE	Umgangsformen	33
			Erfahrung	25
			Ausbildung	7
			Berufserfahrung	11
			Umgang	20
				
225185	c1e8466c-1459-45a5-88b7-d8b9a7efae51	COMPETENCE	zuverlässig	12
			belastbar	10
			Kenntnisse	7
			PKW-FS	22
			Berufserfahrung	18
			flexibel	14
				
177164	c72f4943-e382-4dfe-b206-fa4ea7e36f9e	COMPETENCE	Ausbildung	38
			Mobilität	42
				
338713	c757906b-6ea8-4aa7-8fd8-993310dec637	COMPETENCE	Kfz-Mechaniker	128
			Berufsausbildung	104
			Kommunikationsvermögen	122
			Führerschein	141
			Kenntnisse	136
			Eigeninitiative	124
			Fachkenntnisse	119
			Flexibilität	126
				
209867	ca781577-a9dd-4dde-9ab3-fe58d4b7ebda	COMPETENCE	Englischkenntnisse	19
			Kenntnisse	9
			Ausbildung	5
				
191272	cd184ffe-c37e-491a-89a2-8e2a81ab0402	COMPETENCE	Umgangsformen	5
			gearbeitet	30
			Persönlichkeit	17
			Erfahrung	9
			Berufserfahrung	37
			teamfähig	7
			Kreativität	35
				
74304	ceec7ac4-3b2c-4daf-823f-fd8c3aba37f3	COMPETENCE	Kenntnisse	13
			Berufsausbildung	4
				
269796	d3bd801c-a080-4e6c-bbf1-1bd1cb217f9c	COMPETENCE	belastbar	5
			PKW	7
				
62943	d9bcaf3b-7339-4ca6-826b-cf8eb2cffc16	COMPETENCE	Belastbarkeit	20
			Flexibilität	17
			Deutschkenntnisse	22
				
77614	d9ebc0b4-04cc-4d98-b3e8-9838d02a63f6	COMPETENCE	Stadtgrundkarten	31
			Bodenrecht	23
			Liegenschaftskartendigitalisierung	25
			Kenntnisse	44
			Erfahrung	3
			Kenntnisse	36
			Flurbereinigungsgesetz	10
				
171937	db5c7bb0-e616-4f0d-a8ad-5d221024bf9d	COMPETENCE	Kenntnisse	0
				
374302	dc0677a6-1d69-4cc8-a262-4cbbe5043248	COMPETENCE	Kenntnisse	21
			Kommunikations-	50
			Kenntnisse	62
			Berufserfahrung	13
			Einsatzbereitschaft	56
			Flexibilität	54
			Kenntnisse	24
			Technikerausbildung	5
				
155064	e0ca114d-3715-41b2-854d-785a7ce8c210	COMPETENCE	Kenntnisse	20
			Anwendung	34
			Berufserfahrung	5
			MSR-Kenntnisse	29
				
131838	e2840b4e-8fa5-4a36-977d-75b3da6fb82b	COMPETENCE	Arbeiten	12
			Deutschkenntnisse	15
			ZUVERLÄSSIGKEIT	10
			Schweißerprüfung	23
			Berufserfahrung	19
			Führerschein	13
			Bereitschaft	5
			Ausbildung	4
				
45405	e34c6060-fd9b-4972-94a5-6c2046ac2804	COMPETENCE	Montagebereitschaft	9
			Zuverlässigkeit	0
			Teamfähigkeit	7
			Arbeiten	5
				
135743	e3c167f2-9a8b-41b2-b105-850960e086d8	COMPETENCE	Kenntnisse	4
				
65461	ec0a077e-5937-4ad8-8e86-cc42ba7985c5	COMPETENCE	ausgelernt	31
			Englischkenntnisse	22
			führen	16
			übernehmen	12
			Energie	7
			Führerschein	24
			gearbeitet	40
				
177541	edfa516b-c5ce-4a8f-8824-7726b3921c88	COMPETENCE	Berufsausbildung	4
				
217052	f08b46a6-0c55-4999-8426-56088e6fc58a	COMPETENCE	offen	34
			Arbeiten	15
			Arbeiten	40
			Erziehungsstil	13
			Flexibilität	22
			Elternarbeit	25
				
57817	f0ad20fc-b16b-4d50-9a9b-4fb2a400d878	COMPETENCE	Berufserfahrung	12
				
200374	f2052be5-4caa-400f-9df7-297b60321c9c	COMPETENCE	Besitz	1
				
369868	f50049a6-0d00-4e2d-9985-2136c6946076	COMPETENCE	Kommunikationsfähigkeit	15
			Äußeres	13
			Führungsfähigkeit	10
			Offenheit	32
			Deutschkenntnisse	24
			Erfahrung	4
			Lernbereitschaft	34
				
86612	f5f28921-6745-4f96-86ad-25afc23e0f9e	COMPETENCE	Arbeitsweise	15
			Zuverlässigkeit	12
			Führerschein	45
			Teamfähigkeit	30
			Erfahrungen	2
			Umgangston	18
			Äußeres	28
				
138414	fb0d43c8-8d49-479c-9a36-961923cbdea8	COMPETENCE	Berufserfahrung	16
			Umgang	27
			Teamfähigkeit	32
			Ausbildung	6
			Kenntnisse	21
				
54486	fe52c6f3-2fe8-4159-8c0a-7751acd86fc8	COMPETENCE	Berufsausbildung	6
				
90416	01c82ab3-6ad3-488b-8eb1-b63454350f5f	COMPETENCE	Zusatzqualifikationen	11
			Berufserfahrung	8
			Ausbildung	4
				
291611	05dc4f04-6bdd-4369-abc1-0c3833158fff	COMPETENCE	Erfahrung	12
			Ausbildung	8
				
383784	05eaa961-26b6-4d50-80e0-7cfc116c2943	COMPETENCE	Erfahrung	10
			Ausbildung	5
				
356331	085d19a0-c5ec-4ee4-a4e8-87b4a277632c	COMPETENCE	Bereitschaft	40
			Berufserfahrung	17
			Ausbildung	5
			Kenntnisse	22
				
105466	0b377227-ed53-465d-93c6-cc5b5c7c4a0c	COMPETENCE	Fach-)Hochschulstudium	15
			Ausbildung	51
			Berufserfahrung	55
			Ausbildung	36
			Affinität	46
				
90485	146656cd-4fe3-4c3a-b417-22a5b99c4e5c	COMPETENCE	Deutschkenntnisse	64
			Verständnis	45
			Freude	37
			Wochenendarbeit	51
			Führerschein	14
			Erfahrung	28
			Kompetenz	20
			Ausbildung	4
			Kunden-	24
			Teamfähigkeit	22
			Bereitschaft	47
				
268456	1a063537-24fa-4d81-8749-a99fb396d1cf	COMPETENCE	Verständnis	95
			Englischkenntnisse	66
			Reisebereitschaft	102
			Kommunikationsfähigkeit	87
			Arbeiten	93
			IT-Kenntnisse	45
			Erfahrungen	32
			Teamfähigkeit	100
			Auffassungsgabe	90
			Persönlichkeit	84
				
158981	1d5f0ece-0da8-4938-9709-0d0135c8947a	COMPETENCE	Englisch	20
			Kenntnisse	15
			Ausbildung	4
				
54888	1ff9c867-ef05-41bf-9da5-d7d99a57d099	COMPETENCE	Berufserfahrung	7
			Ausbildung	2
				
222222	2101c6dc-a364-4179-b319-88a418ede5ef	COMPETENCE	Kompetenzen	3
				
203558	21ecfcea-eb66-446d-8a9b-77e384f8ac72	COMPETENCE	belastbar	50
			Mobilität	59
			Berufserfahrung	47
			examiniert	44
			flexibel	53
				
279247	23b3abc2-3178-4205-aecf-5efaf8eca483	COMPETENCE	zuverlässig	8
			Führerschein	14
			Ausbildung	4
			motiviert	12
			flexibel	10
				
247009	25ce4922-569b-4ae3-82cd-54949629e68b	COMPETENCE	Engagiert	5
			Selbständig	7
			Zuverlässig	3
				
35813	27d96f2a-9d1f-431f-b35b-816feaa7296e	COMPETENCE	Berufsausbildung	4
			PC-Kenntnisse	22
			Flexibilität	24
			Teamfähigkeit	28
			Berufserfahrung	17
			Belastbarkeit	26
			Arbeitsweise	33
				
383784	280bf041-eed2-41e0-9d1b-4c58028220fe	COMPETENCE	Führerschein	2
				
52837	2939c53a-e785-4c05-8129-e8eee801ea2e	COMPETENCE	Erscheinungsbild	43
			Verkaufserfahrung	47
			Freundlichkeit	3
			Spaß	29
			Flexibilität	6
			Freude	23
				
45405	3097f156-130e-4643-8749-9cd41dd10cf5	COMPETENCE	Berufserfahrung	20
			Ausbildung	4
				
304084	311dda1e-8367-4c22-854c-e2269954157c	COMPETENCE	Teamarbeit_Teamfähigkeit	31
			Wesen	37
			Arbeiten	29
			Einstellung	24
			Erscheinung	41
			Ausbildung	8
				
102197	35971325-8943-46b0-aa34-25537fc8e08a	COMPETENCE	Deutschkenntnisse	26
			Ausbildung	8
			Engagement	18
				
107195	3759dd6b-f34e-4786-a635-662a8b3a3ac2	COMPETENCE	Kenntnisse	12
			Führerschein	5
				
321259	37a11a05-be07-41a6-87d0-67e7e5854bd0	COMPETENCE	Mobilität	38
			Motivation	31
			Führerschein	73
			Führerschein	45
				
144481	37e9e581-57b9-4080-b467-4c285efe7729	COMPETENCE	zuverlässige_n	9
			erfahrene_n	13
			freundliche_n	11
			engagierte_n	7
				
212345	3928c64a-c737-458f-9f50-b4ba4d135442	COMPETENCE	Erfahrung	2
				
383784	392b4646-a9c7-475c-bc18-880b1625705f	COMPETENCE	-Verantwortungsbewusstsein	15
			-soziale Kompetenz	16
			-Teamfähigkeit	11
			Kenntnisse	3
			-Belastbarkeit	13
			-Flexibilität	12
			-Einsatzbereitschaft	14
			-Bereitschaft	20
			Einfühlungsvermögen	19
				
208787	3abc928e-9451-4b73-8c3a-630cdfc116c4	COMPETENCE	Erfahrung	0
			ADR-Schein	12
				
71395	41a7f21b-3c6b-41d2-a5bb-8e95bb751a0e	COMPETENCE	Hochschulstudium	116
			Arbeitsweise	197
			Englischkenntnisse	210
			Kenntnisse	161
			Denkvermögen	182
			Auftreten	185
			Denken	190
			Eigeninitiative	187
			Beherrschen	223
			Kenntnisse	142
			Erfahrungen	174
			Bereitschaft	199
			Kenntnisse	218
				
215647	446bae9e-8155-49ec-b11e-62948ad697ce	COMPETENCE	Freundlichkeit	23
			Auffassungsgabe	13
			Flexibilität	25
			EDV-Kenntnisse	9
			Teamfähigkeit	15
			Ausbildung	5
			Freude	17
				
74900	45a86b68-8615-42b9-a83a-fdb76cf1562d	COMPETENCE	Deutschkenntnisse	34
			-Kenntnisse	22
			-Führerschein	42
			-Eigeninitiative	35
			-Elektroniker	3
			Zuverlässigkeit	41
			-Reisebereitschaft	50
			Teamfähigkeit	39
			Lernbereitschaft	37
			-Kenntnisse	9
			-Grundkenntnisse	28
				
222731	46802c6f-2c1e-42e0-8f02-0eb3f48362d2	COMPETENCE	Arbeitsweise	34
			Zuverlässigkeit	29
			Erfahrung	13
			Ausbildung	4
			Führerschein	19
			Kundenorientierung	31
				
229812	4684fd3d-fc8b-4281-9273-005babde1ab8	COMPETENCE	Staplerschein	0
			Erfahrung	4
			Kranerfahrung	2
				
171937	4aafbb3e-6983-471f-b9df-2cc40d0d4816	COMPETENCE	Führerschein	1
				
270380	4b889926-531e-440c-83bf-970be18d12d7	COMPETENCE	auskennen	11
				
206117	4b9f2691-470b-4f6e-a621-9dc357c097f0	COMPETENCE	Lage	18
			Staplerschein	42
			Belastbarkeit	39
			Führerschein	44
			Talent	3
			Durchsetzungskraft	36
			Freude	6
				
250721	4d0f9e20-90e4-40a4-82ef-9f289897b1a0	COMPETENCE	Berufserfahrung	6
			Führerschein	18
				
375335	503c9b7c-c0f0-4dd1-8edd-38f84b22ec58	COMPETENCE	Arbeitsweise	11
			Zuverlässigkeit	8
			Flexibilität	13
			Berufsausbildung	4
				
91749	50a0d5d0-113f-4235-b808-30f080221b7d	COMPETENCE	Qualitätsbewusstsein	32
			Berufserfahrung	18
			Berufsausbildung	3
			Flexibilität	36
			Teamfähigkeit	34
			gewohnt	24
				
208787	53e675b6-780f-4d22-94e0-0b12a7da03ea	COMPETENCE	Besitz	3
			Zuverlässigkeit	24
				
24374	594b56ae-6f69-4491-9d15-81621ff95ca7	COMPETENCE	Erfahrung	18
			Eigeninitiative	22
			Schweißkenntnisse	12
			Berufserfahrung	3
			Arbeiten	27
				
86024	5ab60ebf-9260-40fa-8c7d-17068287994c	COMPETENCE	Berufsausbildung	9
			Erfahrung	0
				
111461	5b2da144-17ff-421c-a6ac-5471582c7146	COMPETENCE	Wesensart	37
			Erfahrung	64
			Eigeninitiative	32
			Bereitschaft	50
			Teamplayer	30
			Bereitschaft	39
			Grundbildung	4
				
274600	5ba032d9-848e-4a2a-9552-2db5f097294c	COMPETENCE	Berufserfahrung	30
			Berufsausbildung	24
				
43102	5c1da82e-bd30-402b-88c4-637ece65afdb	COMPETENCE	IT-Background	11
			motivierte	8
				
97317	5d7ac528-941f-4696-8aae-63a2db118117	COMPETENCE	Erfahrung	32
			Kenntnisse	20
			vertraut	53
			Studium	8
			Englischkenntnissen	71
			Bereitschaft	78
			beherrschen	57
				
144481	61113582-b0a8-410a-a889-583444313bfa	COMPETENCE	Flexibilität	16
				
73585	61d34c97-5dfc-4a10-8cd1-60ce14edfc0e	COMPETENCE	ergebnisorientiert	120
			Kommunikationsfähigkeit	156
			arbeiten	106
			Englischkenntnisse	135
			strukturiert	118
			Hintergrund	94
			Auftreten	152
			BWL-Studium	80
			Fähigkeiten	103
			Office-Kenntnisse	144
				
163670	6bc6a883-8315-47cb-b8a6-e86bba557b74	COMPETENCE	Berufserfahrung	5
			Gesundheitspass	12
				
45405	6dc20eb0-4153-43da-aba1-89bc27d8ee33	COMPETENCE	Besitz	36
				
164475	735f9a01-4843-47d8-b491-59df3bc7e715	COMPETENCE	Fähigkeiten	43
			Durchsetzungsvermögen	49
			Handeln	72
			Überzeugungsstark	45
			Projektmanagementerfahrung	38
			Kosten-	31
			Arbeiten	55
			Organisationstalent	51
			Bauingenieur	4
			Kenntnisse	62
			Berufserfahrung	16
				
348368	74fba43c-a6ec-4476-8273-56c217356340	COMPETENCE	Zuverlässigkeit	5
			Teamfähigkeit	7
				
298560	75018b51-9178-46ff-9676-9f0cbe1dd67e	COMPETENCE	Berufserfahrung	19
			flexible	3
			Kenntnisse	22
				
105466	785129d3-fac2-4ddc-abfb-708b633753c9	COMPETENCE	Grundkenntnisse	18
			Kommunikationsfähigkeit	9
			Bereitschaft	13
			Teamfähigkeit	11
			Dienstleistungsorientierung	6
				
307730	787dcf1d-d222-41a7-9387-d8b696f8c99f	COMPETENCE	Verständnis	43
			Erfahrungen	52
			Kommunikation	22
			Möglichkeit	31
			Datenverarbeitungskenntnisse	17
			Kenntnisse	3
			Umgang	9
				
241312	78fd0d68-0420-4dc7-8eb0-c98d3ecea79a	COMPETENCE	Berufserfahrung	14
			Führerschein	11
				
307730	79c17268-1815-443d-a4d7-2afa8d7c7153	COMPETENCE	Arbeitsstil	29
			Teamfähigkeit	32
			Wissen	38
			Grundkenntnisse	72
			Studium	3
			PC-Anwenderkenntnisse	60
			Kommunikation	13
				
315852	7cdb57a2-fae7-4d28-af90-1c3eeb6c6091	COMPETENCE	Berufserfahrungen	27
			Beruf	22
				
267562	7ce6de05-00e8-4063-b5f6-d76f0b7730ba	COMPETENCE	Zuverlässigkeit	9
			Flexibilität	11
			Verkaufserfahrung	4
			Kundenfreundlichkeit	7
				
265962	7e550a84-dfef-4d15-a44e-bd7e6f09cdae	COMPETENCE	Anhängererfahrung	4
			Know-how	8
			Fahrpraxis	2
			Ortskenntnisse	10
			Schein	6
				
133738	7f342858-5dd9-4147-808d-66db4eda10d4	COMPETENCE	Kenntnisse	54
			Besitz	43
			Ausbildung	8
			Kommunikations	34
			Berufserfahrung	17
			kundenorientiert	29
