Parent ID	Unit ID	Class	Token	Position
			selbständiger und eigenverantwortlicher Einsatzbereitschaft im Schichtbetrieb auch an Wochenenden und Feiertagen	18
			
348368	b2fdb081-64d3-491c-919e-279269bf6e21	COMPETENCE	adäquate Berufsausbildung	11
			Erfahrungen im Pflegebereich	5
			
236001	b51206c2-1a42-40f7-89b6-590b8a88e9d8	COMPETENCE	Kenntnisse in der Maschinenkonstruktion	6
			Mehrjährige Berufserfahrung in der Antriebstechnik _ Getriebekonstruktion	11
			Englische Sprachkenntnisse	42
			Ausgeprägte Erfahrung mit 3D CAD Systemen , vorzugsweise Pro_Engineer	19
			SAP Kenntnisse	36
			Gute EDV-Kenntnisse ( MS Office )	29
			Diplomingenieur_in Maschinenbau	3
			
76711	b72508dd-2dc0-4ea2-aa03-2eb3bce33570	COMPETENCE	Berufserfahrung	26
			
254860	bf9aad08-6bd7-4aa7-b421-8639c2390b53	COMPETENCE	behalten auch in Stresssituationen den Überblick	45
			belastbar	40
			freundlichen und sicheren Auftreten	21
			absolut zuverlässig	37
			arbeiten selbstständig	42
			ausgeprägte Kundenorientierung	4
			erste Erfahrungen im Einzelhandel	13
			flexibel	8
			
184700	bfc41194-5e1e-4998-aee3-c6fcbfdd2df7	COMPETENCE	gute Umgangsformen	32
			Erfahrung mit der Software Domus	25
			abgeschlossene Ausbildung als Immobilienkaufmann_-frau	6
			Berufserfahrung in der Hausverwaltung von A-Z	11
			einen routinierten Umgang mit MS-Office	18
			
225185	c1e8466c-1459-45a5-88b7-d8b9a7efae51	COMPETENCE	zuverlässig	12
			belastbar	10
			handwerkliche Kenntnisse	6
			PKW-FS	22
			Berufserfahrung	18
			flexibel	14
			
177164	c72f4943-e382-4dfe-b206-fa4ea7e36f9e	COMPETENCE	Kaufm . Ausbildung	36
			Mobilität	42
			
338713	c757906b-6ea8-4aa7-8fd8-993310dec637	COMPETENCE	Kfz-Mechaniker oder Erfahrung VerKauf Kfz-Teile	128
			erfolgreich abgeschlossene Berufsausbildung als Verkäufer_-in oder Kaufmann_-frau im Einzelhandel , idealerweise in der Kfz Branche	102
			ausgeprägtes Kommunikationsvermögen	121
			Führerschein Klasse B	141
			gute EDV- Kenntnisse ( MS-Office )	134
			Eigeninitiative	124
			gute Fachkenntnisse	118
			Flexibilität	126
			
209867	ca781577-a9dd-4dde-9ab3-fe58d4b7ebda	COMPETENCE	gute Englischkenntnisse	18
			sehr gute Kenntnisse der Office-Anwendungen Word , Excel und PowerPoint	7
			abgeschlossene kaufmännische Ausbildung	3
			
191272	cd184ffe-c37e-491a-89a2-8e2a81ab0402	COMPETENCE	Ausgezeichnete kundenorientierte Umgangsformen	3
			schon in der Vergangenheit nach Zielvorgaben gearbeitet	24
			extrovertierte Persönlichkeit	16
			Erfahrung in einem Kundenorientierten Unternehmen	9
			Berufserfahrung in ähnlicher Position	37
			teamfähig	7
			Visual flair und Kreativität	32
			
74304	ceec7ac4-3b2c-4daf-823f-fd8c3aba37f3	COMPETENCE	Kenntnisse im Bereich Feinkost- , Imbiss- , Käsetheke	13
			abgeschlossene Berufsausbildung als Fleischereifachverkäufer(in ) oder einschlägige Berufserfahrung	3
			
269796	d3bd801c-a080-4e6c-bbf1-1bd1cb217f9c	COMPETENCE	Körperlich belastbar	4
			PKW	7
			
62943	d9bcaf3b-7339-4ca6-826b-cf8eb2cffc16	COMPETENCE	körperliche Belastbarkeit	19
			Flexibilität	17
			Deutschkenntnisse	22
			
77614	d9ebc0b4-04cc-4d98-b3e8-9838d02a63f6	COMPETENCE	Digitale Stadtgrundkarten ( DSK )	30
			Bodenrecht	23
			Liegenschaftskartendigitalisierung ( ALK )	25
			Kenntnisse im Umgang mit dem Datenbanksystem -ORACLE	44
			berufliche Erfahrung auf dem Fachgebiet : Flurneuordnung	2
			Kenntnisse im Umgang mit dem Geoinformationssystem DAVID	36
			Flurbereinigungsgesetz und Landwirtschaftsanpassungsgesetz ___ , ___ , __ _ und __ _	10
			
171937	db5c7bb0-e616-4f0d-a8ad-5d221024bf9d	COMPETENCE	Kenntnisse über PV-Anlagen	0
			
374302	dc0677a6-1d69-4cc8-a262-4cbbe5043248	COMPETENCE	gute CAD_PC- Kenntnisse	19
			Kommunikations- und Teamfähigkeit	50
			Kenntnisse der Elektro- oder Fernmeldetechnik	62
			mehrjährige Berufserfahrung	12
			Einsatzbereitschaft	56
			Flexibilität	54
			Kenntnisse in den Bereichen VDE _ VdS , DIN sowie Vertragsrecht ( BGB _ VOB )	24
			abgeschlossene Technikerausbildung der Fachrichtung Anlagenbau oder Versorgungstechnik	4
			
155064	e0ca114d-3715-41b2-854d-785a7ce8c210	COMPETENCE	-Fundierte Kenntnisse im Bereich der SP-Steueranlagen S7	19
			-Sichere Anwendung der MS-Office-Produkte	33
			einschlägiger Berufserfahrung	4
			-Gute MSR-Kenntnisse	28
			
131838	e2840b4e-8fa5-4a36-977d-75b3da6fb82b	COMPETENCE	selbständiges Arbeiten	11
			gute Deutschkenntnisse	14
			ZUVERLÄSSIGKEIT	10
			aktuelle Schweißerprüfung DIN EN287	22
			Berufserfahrung	19
			Führerschein	13
			Bereitschaft zu Schichtarbeit und Montage	5
			abgeschlossene Ausbildung	3
			
45405	e34c6060-fd9b-4972-94a5-6c2046ac2804	COMPETENCE	Montagebereitschaft	9
			Zuverlässigkeit	0
			Teamfähigkeit	7
			selbständiges und gewissenhaftes Arbeiten	2
			
135743	e3c167f2-9a8b-41b2-b105-850960e086d8	COMPETENCE	Gute Kenntnisse mit den üblichen EDV Systemen , Vaudis , Elsa , WPS , ETKA_SAP	3
			
65461	ec0a077e-5937-4ad8-8e86-cc42ba7985c5	COMPETENCE	ausgelernt	31
			gute Englischkenntnisse	21
			gerne Mitarbeiter führen	14
			gerne Verantwortung übernehmen	10
			viel positive Energie	5
			Führerschein Klasse B.	24
			schon einmal in einer Klinik gearbeitet haben und die Abläufe kennen	35
			
177541	edfa516b-c5ce-4a8f-8824-7726b3921c88	COMPETENCE	abgeschlossene Berufsausbildung als staatl . anerkannte Erzieher_in , kirchlich anerkannnte_r Heimerzieher_in , Heilpädagoge_Heilpädagogin oder Heilerzieher_in	3
			
217052	f08b46a6-0c55-4999-8426-56088e6fc58a	COMPETENCE	offen für Fort- und Weiterbildung	34
			arbeiten gerne in einem engagierten Team	15
			arbeiten mit dem __ _ Bildungs- und Erziehungsplan	40
			partnerschaftlichen Erziehungsstil	12
			Flexibilität	22
			kundenfreundliche Elternarbeit	24
			
57817	f0ad20fc-b16b-4d50-9a9b-4fb2a400d878	COMPETENCE	Berufserfahrung in der Führung eines Sattelzuges	12
			
200374	f2052be5-4caa-400f-9df7-297b60321c9c	COMPETENCE	Besitz eines Führerscheins und Fahrzeugs	1
			
369868	f50049a6-0d00-4e2d-9985-2136c6946076	COMPETENCE	Kommunikationsfähigkeit	15
			Gepflegtes Äußeres	12
			Führungsfähigkeit	10
			Offenheit	32
			Sehr gutes , fließendes Deutsch in Wort und Schrift	20
			Einschlägige Erfahrung in der Gastronomie	3
			Lernbereitschaft	34
			
86612	f5f28921-6745-4f96-86ad-25afc23e0f9e	COMPETENCE	selbständige Arbeitsweise	14
			Zuverlässigkeit	12
			Führerschein und PKW	45
			Teamfähigkeit	30
			Erfahrungen in diesen Bereichen	2
			guter Umgangston im Team ( Höflichkeit im Betrieb )	17
			gepflegtes Äußeres	27
			
138414	fb0d43c8-8d49-479c-9a36-961923cbdea8	COMPETENCE	Berufserfahrung im Verkauf	16
			freundlicher Umgang mit unseren Kunden	26
			Teamfähigkeit	32
			abgeschlossene kaufmännische Ausbildung	4
			botanische Kenntnisse	20
			
54486	fe52c6f3-2fe8-4159-8c0a-7751acd86fc8	COMPETENCE	abgeschlossene Berufsausbildung als Kinderpfleger_in oder Krankenpflegehelfer_in	5
			
90416	01c82ab3-6ad3-488b-8eb1-b63454350f5f	COMPETENCE	Zusatzqualifikationen	11
			erste Berufserfahrung	7
			abgeschlossene Ausbildung	3
			
291611	05dc4f04-6bdd-4369-abc1-0c3833158fff	COMPETENCE	Erfahrung im Bereich Kleintiere	12
			Entsprechende Ausbildung	7
			
383784	05eaa961-26b6-4d50-80e0-7cfc116c2943	COMPETENCE	idealerweise Erfahrung im Jugendhilfebereich oder Heimerfahrung	9
			abgeschlossene Ausbildung als Erzieher_in	4
			
356331	085d19a0-c5ec-4ee4-a4e8-87b4a277632c	COMPETENCE	Bereitschaft zur 3- Schichtarbeit und Rufbereitschaft	40
			einschlägige Berufserfahrung im industriellen Umfeld	16
			abgeschlossene Ausbildung im Elektrohandwerk idelalerweise als Elektroniker für Betriebs- oder Automatisierungstechnik	4
			Kenntnisse _ Erfahrung in Automation , Sensorik sowie Kenntnisse in Prozesstechnik , Mess- und Regeltechnik	22
			
105466	0b377227-ed53-465d-93c6-cc5b5c7c4a0c	COMPETENCE	Abgeschlossenes ( Fach-)Hochschulstudium Wirtschaftsinformatik oder Abschluss als AOK Betriebswirt ( m_w ) bzw. eine vergleichbare Qualifikation oder mehrjährige einschlägige Berufserfahrung	13
			kaufmännische Ausbildung im IT-Bereich	50
			Berufserfahrung bevorzugt im IT-Umfeld	55
			Alternativ : Ausbildung zum Sozialversicherungsfachangestellten ( m_w )	34
			starker Affinität zur Informationstechnologie	45
			
90485	146656cd-4fe3-4c3a-b417-22a5b99c4e5c	COMPETENCE	gute Deutschkenntnisse in Wort und Schrift	63
			technisches Verständnis	44
			Freude am eigenständigen und eigenverantwortlichen Arbeiten	37
			Wochenendarbeit	51
			Führerschein Klasse B	14
			Erfahrung im Umgang mit älteren und hilfsbedürftigen Menschen	28
			hohe soziale Kompetenz	18
			abgeschlossene Ausbildung zur Rettungssanitäterin _ zum Rettungssanitäter oder vergleichbarer Kenntnisstand	3
			Kunden- und Dienstleistungsorientierung	24
			Teamfähigkeit	22
			Bereitschaft	47
			
268456	1a063537-24fa-4d81-8749-a99fb396d1cf	COMPETENCE	Verständnis für unterschiedliche Kulturen	95
			Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift , ( koreanisch , chinesisch , indisch )	62
			Reisebereitschaft	102
			gute Kommunikationsfähigkeit	86
			selbstständiges Arbeiten	92
			Gute IT-Kenntnisse mit verschiedenen EDV- Anwendungen und Softwareprogrammen insbesondere MS Office , SAP Erfahrung	44
			Erfahrungen in Exportgeschäften und _ oder kaufmännischen Vertragsabwicklungen	32
			Teamfähigkeit	100
			Schnelle Auffassungsgabe	89
			Offene Persönlichkeit	83
			
158981	1d5f0ece-0da8-4938-9709-0d0135c8947a	COMPETENCE	Englisch in Wort und Schrift	20
			Einschlägige Kenntnisse im Bereich Q-Management	14
			Ausbildung zum Techniker und_oder mehrjährige Praxiserfahrung in der Automobilindustrie	4
			
54888	1ff9c867-ef05-41bf-9da5-d7d99a57d099	COMPETENCE	ausreichend Berufserfahrung	6
			abgeschlossene Ausbildung als Dreher	1
			
222222	2101c6dc-a364-4179-b319-88a418ede5ef	COMPETENCE	umfassende Kompetenzen in Sachen Farbberatung , Haarfärben und -schneiden	2
			
203558	21ecfcea-eb66-446d-8a9b-77e384f8ac72	COMPETENCE	belastbar	50
			Mobilität zum Arbeitsplatz	59
			Berufserfahrung	47
			examiniert	44
			flexibel	53
			
279247	23b3abc2-3178-4205-aecf-5efaf8eca483	COMPETENCE	zuverlässig	8
			Führerschein und Fahrzeug	14
			abgeschlossene Ausbildung zum_zur Zimmerer_Zimmerin	3
			motiviert	12
			flexibel	10
			
247009	25ce4922-569b-4ae3-82cd-54949629e68b	COMPETENCE	Engagiert	5
			Selbständig	7
			Zuverlässig	3
			
35813	27d96f2a-9d1f-431f-b35b-816feaa7296e	COMPETENCE	Abgeschlossene Berufsausbildung als Modellbauer ( Fachrichtung Karosserie ) oder eine vergleichbare Ausbildung	3
			sichere PC-Kenntnisse	21
			Flexibilität	24
			Teamfähigkeit	28
			Berufserfahrung im Modellbau_Lehrenbau	17
			Belastbarkeit	26
			Eigenverantwortliche und selbständige Arbeitsweise	30
			
383784	280bf041-eed2-41e0-9d1b-4c58028220fe	COMPETENCE	Führerschein Klasse B	2
			
52837	2939c53a-e785-4c05-8129-e8eee801ea2e	COMPETENCE	gepflegtes Erscheinungsbild	42
			Verkaufserfahrung im gehobenen Einzelhandel	47
			Freundlichkeit	3
			Spaß am Verkauf	29
			zeitliche Flexibilität	5
			Freude am Umgang mit Menschen	23
			
45405	3097f156-130e-4643-8749-9cd41dd10cf5	COMPETENCE	gewisse Berufserfahrung	19
			Ausbildung als Metallbauer_in bzw. Konstruktionsmechaniker_in oder einem artverwandten Beruf abgeschlossen	4
			
304084	311dda1e-8367-4c22-854c-e2269954157c	COMPETENCE	Teamarbeit_Teamfähigkeit	31
			ein zugewandtes , freundliches Wesen	33
			alleinverantwortliches Arbeiten	28
			eine positive Einstellung zur Pflege	22
			eine sympathische Erscheinung	39
			3-jährige Ausbildung zur_zum Krankenschwester_-pfleger ; Medizinische(r ) m Fachangestellten ( Arzthelfer_in ) oder Altenpfleger_in	7
			
102197	35971325-8943-46b0-aa34-25537fc8e08a	COMPETENCE	gute Deutschkenntnisse	25
			abgeschlossene Ausbildung als Schlosser_in_ ( Anlagenmechaniker_in , betriebsmechaniker_in )	7
			Engagement	18
			
107195	3759dd6b-f34e-4786-a635-662a8b3a3ac2	COMPETENCE	erste Kenntnisse im Bereich Garten- und Landschaftsbau und_oder Baumaschinenführung	11
			Führerschein der Klasse T	5
			
321259	37a11a05-be07-41a6-87d0-67e7e5854bd0	COMPETENCE	bundesweite Mobilität	37
			Motivation	31
			vorhandener Führerschein bis 7,5 t	72
			Führerschein B und Pkw	45
			
144481	37e9e581-57b9-4080-b467-4c285efe7729	COMPETENCE	zuverlässige_n	9
			erfahrene_n	13
			freundliche_n	11
			engagierte_n	7
			
212345	3928c64a-c737-458f-9f50-b4ba4d135442	COMPETENCE	Erfahrung in den Bereichen - Wärmedämmung - Außenarbeiten - und Verputzen	2
			
383784	392b4646-a9c7-475c-bc18-880b1625705f	COMPETENCE	-Verantwortungsbewusstsein	15
			-soziale Kompetenz	16
			-Teamfähigkeit	11
			-Grundlegende Kenntnisse psychiatrischer Störungsbilder des Kindes- und Jugendalters	2
			-Belastbarkeit	13
			-Flexibilität	12
			-Einsatzbereitschaft	14
			-Bereitschaft zur Übernahme von Nachtdiensten	20
			Einfühlungsvermögen	19
			
208787	3abc928e-9451-4b73-8c3a-630cdfc116c4	COMPETENCE	Erfahrung im Bereich Wechselbrücken , Hängerzüge und Sattelschlepper	0
			ADR-Schein	12
			
71395	41a7f21b-3c6b-41d2-a5bb-8e95bb751a0e	COMPETENCE	Abgeschlossenes Hochschulstudium ¿ Fachrichtung Betriebswirtschaft mit erster Berufserfahrung oder mehrjährige Berufserfahrung im Vertrieb oder Produktmanagement von Logistikdienstleistungen mit Fokus auf Rail und Intermodal ( Bulklogistik )	115
			kunden- und ergebnisorientierte Arbeitsweise	194
			Verhandlungssichere Englischkenntnisse in Wort und Schrift	209
			Kenntnisse der Chemieindustrie und der Transport- und Logistikanforderungen von Chemiekonzernen	161
			ausgeprägtes konzeptionelles und analytisches Denkvermögen	178
			Verbindliches Auftreten	184
			wirtschaftliches Denken und Handeln	189
			Eigeninitiative	187
			Beherrschen der gängigen Softwareprodukte	223
			Kenntnisse der Strukturen und Prozesse im Vertrieb des Ressorts Transport & Logistics , insbesondere im Geschäftsfeld Rail Freight	142
			Erste Erfahrungen im Projektmanagement	173
			Bereitschaft zur Reisetätigkeit , bei Bedarf auch ins Ausland	199
			Kenntnisse einer weiteren Fremdsprache	218
			
215647	446bae9e-8155-49ec-b11e-62948ad697ce	COMPETENCE	Freundlichkeit	23
			schnelle Auffassungsgabe	12
			Flexibilität	25
			Gute allgemeine EDV-Kenntnisse	7
			Teamfähigkeit	15
			Abgeschlossene Ausbildung	4
			Freude am Umgang mit Menschen	17
			
74900	45a86b68-8615-42b9-a83a-fdb76cf1562d	COMPETENCE	-Gute Englisch- und Deutschkenntnisse	31
			-Kenntnisse in dezentraler Peripherie und Bussytemen	22
			-Führerschein Klasse B ( alt : 3 )	42
			-Eigeninitiative	35
			-Elektroniker , Techniker oder vergleichbare Ausbildung	3
			Zuverlässigkeit	41
			-Reisebereitschaft	50
			Teamfähigkeit	39
			Lernbereitschaft	37
			-Kenntnisse in Step 7 , wünscchenwert Step 5 sowie Pro Tool und WinCC-Flexible	9
			-Grundkenntnisse der Antriebstechnik	28
			
222731	46802c6f-2c1e-42e0-8f02-0eb3f48362d2	COMPETENCE	selbstständige Arbeitsweise	33
			Zuverlässigkeit	29
			praktische Erfahrung in den genannten Aufgabengebieten	12
			abgeschlossene Ausbildung zum_r Hotelfachmann_-frau ; Fachkraft im Gastgewerbe	3
			Führerschein und PKW	19
			Kundenorientierung	31
			
229812	4684fd3d-fc8b-4281-9273-005babde1ab8	COMPETENCE	Staplerschein	0
			Erfahrung mit Stahl	4
			Kranerfahrung	2
			
171937	4aafbb3e-6983-471f-b9df-2cc40d0d4816	COMPETENCE	Führerschein B ( alt Kl . 3 )	1
			
270380	4b889926-531e-440c-83bf-970be18d12d7	COMPETENCE	mit WIG-Schweißen auskennen	9
			
206117	4b9f2691-470b-4f6e-a621-9dc357c097f0	COMPETENCE	in der Lage auch in schwierigen Situationen den Überblick und die Ruhe zu bewahren	16
			Staplerschein	42
			körperliche Belastbarkeit	38
			Führerschein	44
			organisatorisches Talent	2
			Durchsetzungskraft	36
			Freude am Umgang mit Menschen	6
			
250721	4d0f9e20-90e4-40a4-82ef-9f289897b1a0	COMPETENCE	Berufserfahrung	6
			Führerschein mindestens Klasse B	18
			
375335	503c9b7c-c0f0-4dd1-8edd-38f84b22ec58	COMPETENCE	selbständige Arbeitsweise	10
			Zuverlässigkeit	8
			Flexibilität	13
			abgeschlossene Berufsausbildung als Koch_Köchin	3
			
91749	50a0d5d0-113f-4235-b808-30f080221b7d	COMPETENCE	Qualitätsbewusstsein	32
			mehrjährige Berufserfahrung	17
			abgeschlossene fachbezogene Berufsausbildung	1
			Flexibilität	36
			Teamfähigkeit	34
			gewohnt , eigenverantwortlich und selbstständig zu arbeiten	24
			
208787	53e675b6-780f-4d22-94e0-0b12a7da03ea	COMPETENCE	Besitz des Führerscheins der Klasse CE	3
			Zuverlässigkeit	24
			
24374	594b56ae-6f69-4491-9d15-81621ff95ca7	COMPETENCE	langjährige Erfahrung in Edelstahl-Verarbeitung	17
			Eigeninitiative	22
			sehr gute Schweißkenntnisse ( WIG )	10
			Berufserfahrung im Bereich Behälter- und Apparatebau	3
			selbstständiges , gewissenhaftes Arbeiten	24
			
86024	5ab60ebf-9260-40fa-8c7d-17068287994c	COMPETENCE	abgeschlossene Berufsausbildung	8
			Erfahrung in diesem Bereich	0
			
111461	5b2da144-17ff-421c-a6ac-5471582c7146	COMPETENCE	Offene , kommunikative Wesensart	34
			Erfahrung im Kleinkindbereich	64
			Eigeninitiative	32
			Bereitschaft , sich in das Ausbildungssystem der __ _ ( ___ ) einzuarbeiten	50
			Teamplayer	30
			Bereitschaft , sich in die Pädagogik vom __ _ einzuarbeiten	39
			Abgeschlossene pädagogische Grundbildung ( staatlich anerkannte_r ErzieherIn . Kinderpflegerin mit mind . einem Jahr Berufserfahrung in einer Einrichtung )	2
			
274600	5ba032d9-848e-4a2a-9552-2db5f097294c	COMPETENCE	Berufserfahrung im Montieren von Fenstern und Türen	30
			abgeschlossene Berufsausbildung als Tischler oder Schreiner	23
			
43102	5c1da82e-bd30-402b-88c4-637ece65afdb	COMPETENCE	IT-Background	11
			motivierte	8
			
97317	5d7ac528-941f-4696-8aae-63a2db118117	COMPETENCE	Erfahrung bei der Projektierung von elektrischen Anlagen und bei der Erstellung von Stromlaufplänen	32
			gute Kenntnisse in der Energie- und Antriebstechnik	19
			mit einem E-CAD System vertraut	49
			abgeschlossenes Studium der Elektrotechnik oder eine vergleichbare Ausbildung zum Techniker	7
			guten Englischkenntnissen in Wort und Schrift	70
			Bereitschaft zu Reisetätigkeiten	78
			beherrschen weiterhin den Umgang mit verfahrenstechnischen Vorgaben wie Systembeschreibungen und Spezifikationen	57
			
144481	61113582-b0a8-410a-a889-583444313bfa	COMPETENCE	Flexibilität	16
			
73585	61d34c97-5dfc-4a10-8cd1-60ce14edfc0e	COMPETENCE	ergebnisorientiert	120
			gute Kommunikationsfähigkeit	155
			arbeiten im Team , aber auch selbstständig	106
			gute Englischkenntnisse in Wort und Schrift	134
			strukturiert	118
			technischen Hintergrund	93
			sicheres Auftreten	151
			abgeschlossenes BWL-Studium , mit Schwerpunkt Controlling , bzw. Rechnungswesen	79
			ausgeprägte analytische und konzeptionelle Fähigkeiten	99
			sehr gute Microsoft Office-Kenntnisse , insbesondere Microsoft Excel	141
			
163670	6bc6a883-8315-47cb-b8a6-e86bba557b74	COMPETENCE	erste Berufserfahrung im gastronomischen Bereich	4
			Gesundheitspass	12
			
45405	6dc20eb0-4153-43da-aba1-89bc27d8ee33	COMPETENCE	Besitz des Pkw-Führerscheins	36
			
164475	735f9a01-4843-47d8-b491-59df3bc7e715	COMPETENCE	Analytische und konzeptionelle Fähigkeiten	40
			Durchsetzungsvermögen	49
			rechtssicheres Handeln nach VOB , BGB und MaBV.	71
			Überzeugungsstark und teamorientiert	45
			Fundierte , praxisgestützte Projektmanagementerfahrung	35
